record_id,department,defect_type,corridor_id,severity,days_overdue,asset_age_years,days_since_last_inspection,previous_failure_count,traffic_density_rank,corridor_utilization_pct,maintenance_duration_mins,weather_risk_factor,failure_risk_probability,failure_risk_class,dataset_type
RS-ML-10025,SMMS,AXLE_COUNTER_RESET,NDLS-CNB-07,3,0.0,37.1,93,4,3,85.8,180,0.77,0.5168,HIGH,RailSync synthetic prototype training data
RS-ML-10026,TDMS,CATENARY_TENSION_LOW,CNB-MGS-01,1,0.9,26.8,198,4,4,60.5,90,0.25,0.4009,HIGH,RailSync synthetic prototype training data
RS-ML-10027,TMS,TRACK_TWIST,CNB-MGS-01,4,9.8,19.6,350,7,1,91.3,120,0.21,0.7518,CRITICAL,RailSync synthetic prototype training data
RS-ML-10028,TDMS,NEUTRAL_SECTION_ARCING,NDLS-HWH-01,1,0.4,16.8,163,1,5,51.1,30,0.69,0.3616,MEDIUM,RailSync synthetic prototype training data
RS-ML-10029,SMMS,SIGNAL_LAMP_FUSED,CNB-MGS-01,2,0.5,36.1,172,2,3,69.7,180,0.34,0.4,HIGH,RailSync synthetic prototype training data
RS-ML-10030,SMMS,DATA_LOGGER_FAIL,NDLS-CNB-07,1,3.3,25.4,197,2,3,63.8,30,0.32,0.3755,MEDIUM,RailSync synthetic prototype training data
RS-ML-10031,SMMS,RELAY_CHATTER,HWH-MGS-03,2,5.6,25.8,264,1,2,78.5,120,0.51,0.4943,HIGH,RailSync synthetic prototype training data
RS-ML-10032,SMMS,RELAY_CHATTER,NDLS-HWH-01,3,0.6,28.7,347,0,1,54.3,240,0.6,0.3717,MEDIUM,RailSync synthetic prototype training data
RS-ML-10033,TDMS,CATENARY_TENSION_LOW,HWH-MGS-03,2,6.9,9.6,338,2,1,85.5,90,0.21,0.4089,HIGH,RailSync synthetic prototype training data
RS-ML-10034,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,1,3.9,9.8,65,1,5,74.8,240,0.6,0.2929,MEDIUM,RailSync synthetic prototype training data
RS-ML-10035,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,3,6.4,28.4,246,1,3,84.8,240,0.61,0.5082,HIGH,RailSync synthetic prototype training data
RS-ML-10036,TMS,TRACK_TWIST,CNB-MGS-01,4,0.0,13.1,279,0,4,80.6,90,0.11,0.4561,HIGH,RailSync synthetic prototype training data
RS-ML-10037,TMS,SLEEPER_LOOSENING,HWH-MGS-03,2,3.0,29.4,359,0,4,40.3,150,0.32,0.4072,HIGH,RailSync synthetic prototype training data
RS-ML-10038,TMS,BALLAST_DEFICIENCY,NDLS-CNB-07,2,0.0,10.7,251,0,4,82.4,240,0.88,0.4316,HIGH,RailSync synthetic prototype training data
RS-ML-10039,TDMS,OHE_DROPPER_SNAP,NDLS-HWH-01,4,0.0,5.6,239,0,3,52.4,150,0.35,0.4069,HIGH,RailSync synthetic prototype training data
RS-ML-10040,TDMS,NEUTRAL_SECTION_ARCING,HWH-MGS-03,2,0.0,3.6,12,2,3,53.1,45,0.75,0.237,MEDIUM,RailSync synthetic prototype training data
RS-ML-10041,TDMS,CATENARY_TENSION_LOW,NDLS-HWH-01,3,0.9,9.4,245,2,3,84.9,60,0.6,0.4472,HIGH,RailSync synthetic prototype training data
RS-ML-10042,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,4,8.4,4.6,16,5,4,63.2,90,0.12,0.6106,CRITICAL,RailSync synthetic prototype training data
RS-ML-10043,TMS,GAUGE_CORRECTION,NDLS-HWH-01,3,1.6,21.7,24,0,5,77.9,30,0.81,0.3589,MEDIUM,RailSync synthetic prototype training data
RS-ML-10044,TDMS,CANTILEVER_INSULATOR_FLASH,HWH-MGS-03,4,4.6,24.3,238,2,3,76.0,240,0.47,0.6214,CRITICAL,RailSync synthetic prototype training data
RS-ML-10045,TMS,SLEEPER_LOOSENING,NDLS-HWH-01,2,1.4,17.4,240,1,4,89.8,60,0.49,0.4133,HIGH,RailSync synthetic prototype training data
RS-ML-10046,TMS,GAUGE_CORRECTION,CNB-MGS-01,2,0.7,22.9,144,1,2,82.1,240,0.55,0.3563,MEDIUM,RailSync synthetic prototype training data
RS-ML-10047,SMMS,POWER_SUPPLY_FLUCTUATION,NDLS-HWH-01,1,1.6,8.8,357,0,5,71.1,180,0.95,0.3742,MEDIUM,RailSync synthetic prototype training data
RS-ML-10048,SMMS,RELAY_CHATTER,HWH-MGS-03,2,0.0,9.9,64,2,5,95.6,60,0.22,0.3642,MEDIUM,RailSync synthetic prototype training data
RS-ML-10049,SMMS,DATA_LOGGER_FAIL,CNB-MGS-01,4,0.0,31.7,154,0,1,81.4,60,0.3,0.374,MEDIUM,RailSync synthetic prototype training data
RS-ML-10050,TDMS,ISOLATOR_SWITCH_JAM,CNB-MGS-01,3,0.0,5.2,254,0,3,67.5,240,0.36,0.3844,HIGH,RailSync synthetic prototype training data
RS-ML-10051,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-HWH-01,2,0.0,3.3,325,2,5,95.5,45,0.94,0.4667,HIGH,RailSync synthetic prototype training data
RS-ML-10052,TMS,BALLAST_DEFICIENCY,NDLS-CNB-07,3,2.0,14.8,229,0,5,76.3,45,0.9,0.5054,HIGH,RailSync synthetic prototype training data
RS-ML-10053,SMMS,AXLE_COUNTER_RESET,NDLS-CNB-07,1,2.2,3.3,4,1,1,53.5,120,0.68,0.1718,LOW,RailSync synthetic prototype training data
RS-ML-10054,SMMS,SIGNAL_LAMP_FUSED,CNB-MGS-01,3,0.0,23.9,341,3,1,71.9,60,0.87,0.5106,HIGH,RailSync synthetic prototype training data
RS-ML-10055,TMS,GAUGE_CORRECTION,CNB-MGS-01,2,2.4,18.1,158,2,4,65.6,30,0.85,0.4453,HIGH,RailSync synthetic prototype training data
RS-ML-10056,SMMS,EARTH_LEAKAGE,CNB-MGS-01,1,10.5,9.1,348,3,3,73.7,60,0.47,0.4748,HIGH,RailSync synthetic prototype training data
RS-ML-10057,TMS,TURNOUT_WEAR,HWH-MGS-03,3,1.4,18.9,49,1,1,90.2,150,0.42,0.3029,MEDIUM,RailSync synthetic prototype training data
RS-ML-10058,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,2,7.0,12.3,168,0,1,78.5,240,0.42,0.3547,MEDIUM,RailSync synthetic prototype training data
RS-ML-10059,TDMS,FEEDER_BREAKER_TRIP,NDLS-HWH-01,1,0.5,21.1,150,1,5,86.8,60,0.33,0.3374,MEDIUM,RailSync synthetic prototype training data
RS-ML-10060,TMS,BALLAST_DEFICIENCY,NDLS-HWH-01,1,0.0,32.1,61,1,2,69.2,120,0.51,0.227,MEDIUM,RailSync synthetic prototype training data
RS-ML-10061,TDMS,CATENARY_TENSION_LOW,HWH-MGS-03,2,7.0,14.9,309,1,3,85.2,180,0.36,0.5131,HIGH,RailSync synthetic prototype training data
RS-ML-10062,TDMS,NEUTRAL_SECTION_ARCING,NDLS-HWH-01,2,7.0,11.7,303,1,4,71.5,150,0.35,0.461,HIGH,RailSync synthetic prototype training data
RS-ML-10063,TDMS,CATENARY_TENSION_LOW,NDLS-CNB-07,2,4.3,9.3,213,0,4,62.6,60,0.5,0.3369,MEDIUM,RailSync synthetic prototype training data
RS-ML-10064,TMS,SEJ_GAP_ABNORMAL,CNB-MGS-01,3,0.1,33.3,228,0,2,64.0,60,0.12,0.3915,HIGH,RailSync synthetic prototype training data
RS-ML-10065,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,3,0.0,32.5,276,1,4,91.0,30,0.61,0.479,HIGH,RailSync synthetic prototype training data
RS-ML-10066,TMS,DRAINAGE_CLEARANCE,CNB-MGS-01,4,4.3,28.5,225,6,1,66.0,120,0.86,0.7687,CRITICAL,RailSync synthetic prototype training data
RS-ML-10067,TMS,FISHPLATE_CRACK,HWH-MGS-03,1,0.0,20.4,292,2,2,44.6,180,0.61,0.3458,MEDIUM,RailSync synthetic prototype training data
RS-ML-10068,TMS,TURNOUT_WEAR,NDLS-CNB-07,1,0.0,24.4,238,0,4,92.7,60,0.12,0.4019,HIGH,RailSync synthetic prototype training data
RS-ML-10069,TMS,BALLAST_DEFICIENCY,CNB-MGS-01,2,0.0,11.8,199,4,4,73.5,120,0.94,0.4997,HIGH,RailSync synthetic prototype training data
RS-ML-10070,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,2,8.5,21.7,354,3,4,88.7,120,0.75,0.6443,CRITICAL,RailSync synthetic prototype training data
RS-ML-10071,TMS,SLEEPER_LOOSENING,CNB-MGS-01,3,0.0,27.5,340,2,1,92.8,30,0.33,0.5372,HIGH,RailSync synthetic prototype training data
RS-ML-10072,TMS,TURNOUT_WEAR,CNB-MGS-01,3,0.8,3.9,154,0,5,91.3,150,0.53,0.4783,HIGH,RailSync synthetic prototype training data
RS-ML-10073,TMS,USFD_MICRO_CRACK,CNB-MGS-01,3,0.0,13.2,61,1,2,90.3,180,0.92,0.3541,MEDIUM,RailSync synthetic prototype training data
RS-ML-10074,TDMS,CONTACT_WIRE_WEAR,NDLS-HWH-01,3,0.0,1.0,277,0,3,74.2,150,0.15,0.3536,MEDIUM,RailSync synthetic prototype training data
RS-ML-10075,TDMS,ISOLATOR_SWITCH_JAM,CNB-MGS-01,4,4.2,8.8,35,2,4,46.8,30,0.9,0.496,HIGH,RailSync synthetic prototype training data
RS-ML-10076,TMS,USFD_MICRO_CRACK,NDLS-HWH-01,1,0.0,33.8,72,1,5,64.5,60,0.85,0.2833,MEDIUM,RailSync synthetic prototype training data
RS-ML-10077,SMMS,TRACK_CIRCUIT_DROP,NDLS-HWH-01,3,0.4,8.6,230,5,3,71.9,150,0.1,0.5208,HIGH,RailSync synthetic prototype training data
RS-ML-10078,TMS,TRACK_TWIST,HWH-MGS-03,3,0.0,8.5,330,1,3,54.2,60,0.76,0.4585,HIGH,RailSync synthetic prototype training data
RS-ML-10079,SMMS,EARTH_LEAKAGE,NDLS-CNB-07,3,1.1,9.2,78,3,2,97.8,120,0.77,0.5152,HIGH,RailSync synthetic prototype training data
RS-ML-10080,TMS,WELD_FRACTURE,NDLS-CNB-07,3,0.0,30.1,124,1,3,43.1,180,0.52,0.3878,HIGH,RailSync synthetic prototype training data
RS-ML-10081,TDMS,ISOLATOR_SWITCH_JAM,NDLS-HWH-01,2,7.1,8.8,317,0,5,57.6,30,0.1,0.3758,MEDIUM,RailSync synthetic prototype training data
RS-ML-10082,SMMS,CABLE_INSULATION_LOW,HWH-MGS-03,3,0.0,18.9,230,0,5,48.7,60,0.3,0.377,MEDIUM,RailSync synthetic prototype training data
RS-ML-10083,TMS,TURNOUT_WEAR,CNB-MGS-01,2,0.0,23.2,53,3,5,82.2,90,0.44,0.4066,HIGH,RailSync synthetic prototype training data
RS-ML-10084,TDMS,MAST_EARTHING_LOOSE,CNB-MGS-01,3,0.0,15.5,51,0,3,61.9,60,0.67,0.2773,MEDIUM,RailSync synthetic prototype training data
RS-ML-10085,TMS,BALLAST_DEFICIENCY,NDLS-HWH-01,3,2.9,14.5,69,1,3,79.2,180,0.37,0.4097,HIGH,RailSync synthetic prototype training data
RS-ML-10086,SMMS,CABLE_INSULATION_LOW,NDLS-HWH-01,4,0.6,23.0,183,0,4,53.1,45,0.37,0.4307,HIGH,RailSync synthetic prototype training data
RS-ML-10087,TMS,SLEEPER_LOOSENING,HWH-MGS-03,3,0.1,37.0,321,2,3,41.7,120,0.68,0.4981,HIGH,RailSync synthetic prototype training data
RS-ML-10088,TMS,FISHPLATE_CRACK,CNB-MGS-01,1,0.0,33.1,292,2,1,45.4,90,0.39,0.2995,MEDIUM,RailSync synthetic prototype training data
RS-ML-10089,TMS,FISHPLATE_CRACK,NDLS-HWH-01,3,0.0,6.3,319,0,4,78.7,240,0.6,0.4416,HIGH,RailSync synthetic prototype training data
RS-ML-10090,TMS,SLEEPER_LOOSENING,NDLS-HWH-01,2,3.9,4.7,350,2,1,52.9,30,0.06,0.3804,HIGH,RailSync synthetic prototype training data
RS-ML-10091,TMS,GAUGE_CORRECTION,CNB-MGS-01,2,0.0,0.8,223,0,2,69.3,150,0.11,0.3019,MEDIUM,RailSync synthetic prototype training data
RS-ML-10092,TDMS,OHE_DROPPER_SNAP,HWH-MGS-03,3,4.3,35.0,163,1,4,56.9,180,0.07,0.4265,HIGH,RailSync synthetic prototype training data
RS-ML-10093,SMMS,RELAY_CHATTER,NDLS-HWH-01,2,1.8,4.5,226,1,3,83.6,90,0.35,0.426,HIGH,RailSync synthetic prototype training data
RS-ML-10094,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,2,3.6,7.8,181,1,2,53.8,60,0.28,0.3573,MEDIUM,RailSync synthetic prototype training data
RS-ML-10095,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,4,2.1,24.0,240,3,5,77.6,150,0.83,0.6864,CRITICAL,RailSync synthetic prototype training data
RS-ML-10096,SMMS,AXLE_COUNTER_RESET,HWH-MGS-03,1,1.5,17.1,158,3,1,58.2,240,0.08,0.2751,MEDIUM,RailSync synthetic prototype training data
RS-ML-10097,SMMS,INTERLOCKING_CIRCUIT_FAULT,HWH-MGS-03,4,3.7,21.3,24,1,3,75.4,60,0.91,0.4902,HIGH,RailSync synthetic prototype training data
RS-ML-10098,SMMS,RELAY_CHATTER,NDLS-HWH-01,2,2.6,7.0,129,2,5,49.3,150,0.88,0.3756,MEDIUM,RailSync synthetic prototype training data
RS-ML-10099,SMMS,POINT_MACHINE_FAILURE,CNB-MGS-01,3,0.0,4.0,350,1,5,91.1,150,0.12,0.4957,HIGH,RailSync synthetic prototype training data
RS-ML-10100,SMMS,RELAY_CHATTER,CNB-MGS-01,4,0.3,26.7,203,0,5,62.0,150,0.78,0.4776,HIGH,RailSync synthetic prototype training data
RS-ML-10101,SMMS,DATA_LOGGER_FAIL,NDLS-HWH-01,3,0.0,16.4,188,0,2,60.0,240,0.22,0.2761,MEDIUM,RailSync synthetic prototype training data
RS-ML-10102,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,NDLS-HWH-01,4,7.5,30.1,262,3,1,78.7,60,0.59,0.668,CRITICAL,RailSync synthetic prototype training data
RS-ML-10103,SMMS,EARTH_LEAKAGE,NDLS-CNB-07,3,0.0,2.1,189,2,4,75.7,240,0.26,0.4614,HIGH,RailSync synthetic prototype training data
RS-ML-10104,TMS,USFD_MICRO_CRACK,NDLS-CNB-07,2,0.0,36.0,228,1,4,69.4,180,0.92,0.4714,HIGH,RailSync synthetic prototype training data
RS-ML-10105,TMS,GAUGE_CORRECTION,NDLS-HWH-01,3,2.5,33.3,286,5,1,56.7,60,0.3,0.5562,HIGH,RailSync synthetic prototype training data
RS-ML-10106,TDMS,PANTOGRAPH_ENTANGLEMENT_RISK,HWH-MGS-03,3,1.9,34.6,233,4,4,69.4,90,0.4,0.6222,CRITICAL,RailSync synthetic prototype training data
RS-ML-10107,TMS,TRACK_TWIST,CNB-MGS-01,5,6.2,5.7,149,4,4,66.2,30,0.87,0.7715,CRITICAL,RailSync synthetic prototype training data
RS-ML-10108,TMS,SLEEPER_LOOSENING,NDLS-CNB-07,2,0.9,27.8,273,1,1,42.8,180,0.63,0.3479,MEDIUM,RailSync synthetic prototype training data
RS-ML-10109,TDMS,FEEDER_BREAKER_TRIP,NDLS-HWH-01,3,0.0,22.1,76,0,3,54.1,180,0.22,0.2732,MEDIUM,RailSync synthetic prototype training data
RS-ML-10110,SMMS,DATA_LOGGER_FAIL,CNB-MGS-01,1,0.1,20.2,262,3,4,42.5,180,0.93,0.4054,HIGH,RailSync synthetic prototype training data
RS-ML-10111,TDMS,CONTACT_WIRE_WEAR,NDLS-CNB-07,3,0.0,24.1,300,2,1,60.6,150,0.78,0.4452,HIGH,RailSync synthetic prototype training data
RS-ML-10112,TMS,DRAINAGE_CLEARANCE,HWH-MGS-03,4,0.0,18.4,96,3,4,42.2,90,0.09,0.5054,HIGH,RailSync synthetic prototype training data
RS-ML-10113,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,4,1.2,20.9,132,0,1,90.6,150,0.3,0.3965,HIGH,RailSync synthetic prototype training data
RS-ML-10114,TDMS,MAST_EARTHING_LOOSE,HWH-MGS-03,3,0.0,34.0,200,0,4,61.5,120,0.77,0.4108,HIGH,RailSync synthetic prototype training data
RS-ML-10115,SMMS,AXLE_COUNTER_RESET,CNB-MGS-01,2,4.4,3.5,341,0,2,80.4,150,0.45,0.3468,MEDIUM,RailSync synthetic prototype training data
RS-ML-10116,SMMS,RELAY_CHATTER,HWH-MGS-03,2,1.6,37.3,32,0,2,95.7,60,0.81,0.2803,MEDIUM,RailSync synthetic prototype training data
RS-ML-10117,TMS,SLEEPER_LOOSENING,CNB-MGS-01,2,10.4,36.1,19,2,3,66.0,45,0.57,0.4489,HIGH,RailSync synthetic prototype training data
RS-ML-10118,SMMS,CABLE_INSULATION_LOW,CNB-MGS-01,3,0.0,9.9,61,0,5,62.6,45,0.29,0.3179,MEDIUM,RailSync synthetic prototype training data
RS-ML-10119,TDMS,NEUTRAL_SECTION_ARCING,HWH-MGS-03,1,2.1,5.6,40,1,1,87.4,150,0.65,0.2265,MEDIUM,RailSync synthetic prototype training data
RS-ML-10120,SMMS,DATA_LOGGER_FAIL,CNB-MGS-01,3,0.0,32.4,329,0,2,47.1,90,0.76,0.3885,HIGH,RailSync synthetic prototype training data
RS-ML-10121,TMS,TURNOUT_WEAR,CNB-MGS-01,2,0.0,37.4,69,2,3,63.3,240,0.52,0.4004,HIGH,RailSync synthetic prototype training data
RS-ML-10122,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,4,0.5,24.6,233,1,5,77.4,60,0.74,0.5875,CRITICAL,RailSync synthetic prototype training data
RS-ML-10123,TDMS,CANTILEVER_INSULATOR_FLASH,NDLS-CNB-07,2,7.9,6.6,118,0,1,54.7,120,0.16,0.3022,MEDIUM,RailSync synthetic prototype training data
RS-ML-10124,TMS,SEJ_GAP_ABNORMAL,NDLS-HWH-01,2,4.5,6.8,300,0,5,59.8,30,0.79,0.4497,HIGH,RailSync synthetic prototype training data
RS-ML-10125,SMMS,EARTH_LEAKAGE,CNB-MGS-01,3,0.0,29.3,216,2,5,56.9,120,0.48,0.5071,HIGH,RailSync synthetic prototype training data
RS-ML-10126,TDMS,MAST_EARTHING_LOOSE,CNB-MGS-01,2,0.8,26.3,83,1,5,48.4,150,0.71,0.3859,HIGH,RailSync synthetic prototype training data
RS-ML-10127,TMS,FISHPLATE_CRACK,NDLS-HWH-01,2,0.0,18.0,139,1,1,57.0,180,0.83,0.2428,MEDIUM,RailSync synthetic prototype training data
RS-ML-10128,TMS,RAIL_CORRUGATION,CNB-MGS-01,4,2.5,27.5,100,3,4,91.4,240,0.07,0.6299,CRITICAL,RailSync synthetic prototype training data
RS-ML-10129,TDMS,CATENARY_TENSION_LOW,CNB-MGS-01,1,2.2,11.1,308,4,5,40.5,45,0.44,0.4327,HIGH,RailSync synthetic prototype training data
RS-ML-10130,TDMS,CONTACT_WIRE_WEAR,HWH-MGS-03,2,0.0,15.5,294,1,3,44.3,240,0.74,0.3289,MEDIUM,RailSync synthetic prototype training data
RS-ML-10131,SMMS,INTERLOCKING_CIRCUIT_FAULT,NDLS-CNB-07,5,0.0,15.3,176,1,2,51.6,180,0.5,0.5823,CRITICAL,RailSync synthetic prototype training data
RS-ML-10132,TMS,RAIL_CORRUGATION,CNB-MGS-01,3,1.4,20.0,79,2,5,58.6,180,0.94,0.4864,HIGH,RailSync synthetic prototype training data
RS-ML-10133,TMS,SEJ_GAP_ABNORMAL,HWH-MGS-03,3,13.7,11.7,11,1,5,58.0,30,0.59,0.5185,HIGH,RailSync synthetic prototype training data
RS-ML-10134,TMS,DRAINAGE_CLEARANCE,NDLS-CNB-07,3,5.2,22.4,90,1,4,48.6,90,0.08,0.4462,HIGH,RailSync synthetic prototype training data
RS-ML-10135,TMS,FISHPLATE_CRACK,HWH-MGS-03,1,2.2,26.4,213,1,1,81.3,90,0.55,0.322,MEDIUM,RailSync synthetic prototype training data
RS-ML-10136,TDMS,FEEDER_BREAKER_TRIP,HWH-MGS-03,2,0.0,7.0,275,0,3,75.7,90,0.91,0.3304,MEDIUM,RailSync synthetic prototype training data
RS-ML-10137,TDMS,NEUTRAL_SECTION_ARCING,CNB-MGS-01,3,0.0,26.4,253,0,3,56.8,180,0.86,0.4276,HIGH,RailSync synthetic prototype training data
RS-ML-10138,TMS,FISHPLATE_CRACK,NDLS-CNB-07,2,1.0,11.3,43,0,4,52.5,120,0.89,0.2751,MEDIUM,RailSync synthetic prototype training data
RS-ML-10139,SMMS,EARTH_LEAKAGE,NDLS-CNB-07,1,0.0,25.6,274,0,1,64.2,240,0.14,0.1978,LOW,RailSync synthetic prototype training data
RS-ML-10140,TDMS,OHE_DROPPER_SNAP,NDLS-CNB-07,4,0.0,35.6,246,1,3,58.8,30,0.87,0.555,HIGH,RailSync synthetic prototype training data
RS-ML-10141,SMMS,POINT_MACHINE_FAILURE,NDLS-CNB-07,4,0.0,31.9,21,7,4,50.9,120,0.84,0.6092,CRITICAL,RailSync synthetic prototype training data
RS-ML-10142,TMS,TURNOUT_WEAR,NDLS-HWH-01,4,2.4,13.1,235,7,2,89.8,240,0.3,0.7042,CRITICAL,RailSync synthetic prototype training data
RS-ML-10143,SMMS,TRACK_CIRCUIT_DROP,NDLS-CNB-07,1,0.7,13.1,154,1,4,88.4,150,0.13,0.2622,MEDIUM,RailSync synthetic prototype training data
RS-ML-10144,SMMS,AXLE_COUNTER_RESET,NDLS-CNB-07,2,0.0,35.6,6,0,3,95.8,120,0.57,0.2458,MEDIUM,RailSync synthetic prototype training data
RS-ML-10145,TMS,SLEEPER_LOOSENING,NDLS-HWH-01,3,7.9,18.0,84,1,3,80.4,120,0.38,0.4751,HIGH,RailSync synthetic prototype training data
RS-ML-10146,TMS,RAIL_CORRUGATION,HWH-MGS-03,1,8.5,28.5,313,1,5,86.9,90,0.74,0.5017,HIGH,RailSync synthetic prototype training data
RS-ML-10147,TDMS,ISOLATOR_SWITCH_JAM,HWH-MGS-03,2,8.2,14.1,291,0,2,73.5,60,0.2,0.355,MEDIUM,RailSync synthetic prototype training data
RS-ML-10148,TDMS,FEEDER_BREAKER_TRIP,NDLS-HWH-01,3,5.8,27.4,253,0,4,47.7,180,0.46,0.5008,HIGH,RailSync synthetic prototype training data
RS-ML-10149,TDMS,OHE_DROPPER_SNAP,HWH-MGS-03,4,0.0,0.6,114,1,3,81.0,30,0.89,0.4501,HIGH,RailSync synthetic prototype training data
RS-ML-10150,TMS,USFD_MICRO_CRACK,NDLS-HWH-01,2,3.6,7.2,72,3,4,61.9,180,0.45,0.456,HIGH,RailSync synthetic prototype training data
RS-ML-10151,TMS,DRAINAGE_CLEARANCE,NDLS-CNB-07,3,0.0,13.5,94,7,2,82.6,90,0.8,0.5319,HIGH,RailSync synthetic prototype training data
